"term","estimate","std.error","statistic","p.value","coef.type"
"1|2",-1.08275012444716,0.261335309088757,-4.14314517323577,3.42574933563482e-05,"intercept"
"2|3",0.284860814586205,0.259250962329545,1.09878402003425,0.271862284015236,"intercept"
"3|4",1.15804164611805,0.261610652066284,4.42658445660171,9.57369083874506e-06,"intercept"
"4|5",1.83161971854484,0.265525917984936,6.89808261447664,5.27090929126615e-12,"intercept"
"5|6",2.97460302399215,0.277987687559417,10.7004847952352,1.01247106649059e-26,"intercept"
"6|7",4.10107192715572,0.306846428513855,13.3652262045818,9.65410792928551e-41,"intercept"
"subject_gap",-1.37911320827503,0.130835020485983,-10.5408567457884,5.5986511590828e-26,"location"
"adjunct_gap",0.325819164605382,0.123655743272813,2.63488905554957,0.00841647878578398,"location"
"subject_gap:adjunct_gap",0.0370192643023498,0.24919403066197,0.148555983480063,0.88190400759792,"location"
